user_id,group,ad_spend,sessions,purchases,revenue,region,signup_date
1,A,5.61,2,0,0.0,Europe,2024-05-10
2,B,61.95,1,0,0.0,North America,2024-03-13
3,B,25.17,1,1,73.69,Europe,2024-05-15
4,B,24.39,3,0,0.0,Europe,2024-04-06
5,A,10.2,0,0,0.0,North America,2024-05-02
6,A,18.42,0,0,0.0,Europe,2024-03-10
7,A,6.95,2,0,0.0,Asia,2024-06-17
8,B,26.43,0,0,0.0,Asia,2024-01-13
9,B,33.21,1,1,28.35,Europe,2024-02-18
10,B,13.96,2,0,0.0,North America,2024-02-29
11,A,37.21,1,0,0.0,Asia,2024-05-09
12,B,12.47,5,0,0.0,Asia,2024-01-05
13,B,22.79,3,0,0.0,North America,2024-06-20
14,A,24.67,1,0,0.0,Asia,2024-01-27
15,A,11.16,1,0,0.0,Asia,2024-06-08
16,A,5.62,0,0,0.0,Europe,2024-05-28
17,A,6.76,0,0,0.0,Europe,2024-01-08
18,B,14.82,2,0,0.0,North America,2024-02-19
19,A,11.17,2,0,0.0,North America,2024-03-07
20,A,14.75,5,0,0.0,North America,2024-02-13
21,B,27.07,1,0,0.0,Asia,2024-05-04
22,A,26.84,2,0,0.0,North America,2024-02-27
23,A,28.8,3,0,0.0,North America,2024-01-03
24,A,50.58,0,0,0.0,North America,2024-03-26
25,A,7.95,1,0,0.0,Europe,2024-03-10
26,B,64.3,0,0,0.0,Asia,2024-05-09
27,A,13.66,3,1,73.13,North America,2024-06-20
28,B,15.84,2,0,0.0,North America,2024-01-02
29,B,32.46,1,0,0.0,Europe,2024-04-11
30,A,9.67,1,0,0.0,Europe,2024-02-04
31,B,29.13,3,0,0.0,North America,2024-04-07
32,A,38.63,1,0,0.0,Europe,2024-01-30
33,A,11.36,5,0,0.0,North America,2024-04-25
34,B,31.76,4,0,0.0,North America,2024-01-08
35,B,27.4,2,0,0.0,Europe,2024-05-29
36,B,69.47,0,0,0.0,North America,2024-02-13
37,A,3.28,3,0,0.0,Asia,2024-02-05
38,A,10.14,2,0,0.0,North America,2024-03-17
39,B,6.43,6,0,0.0,Europe,2024-01-31
40,A,25.28,3,0,0.0,Europe,2024-02-16
41,A,17.01,1,0,0.0,North America,2024-02-24
42,A,42.49,2,1,67.38,Europe,2024-04-15
43,A,5.73,1,0,0.0,North America,2024-06-06
44,B,17.2,3,0,0.0,Asia,2024-04-30
45,A,36.69,3,1,47.04,North America,2024-02-24
46,B,15.2,3,0,0.0,North America,2024-05-23
47,A,11.31,1,0,0.0,North America,2024-01-12
48,B,12.61,1,0,0.0,Asia,2024-05-24
49,B,8.91,2,0,0.0,Europe,2024-05-23
50,A,6.89,0,0,0.0,Europe,2024-05-19
51,B,11.38,6,0,0.0,North America,2024-05-15
52,B,4.5,2,0,0.0,Europe,2024-01-03
53,B,20.16,2,0,0.0,North America,2024-05-23
54,B,12.96,0,0,0.0,Asia,2024-01-30
55,B,1.1,3,0,0.0,North America,2024-01-23
56,B,4.58,0,0,0.0,North America,2024-04-01
57,A,0.86,2,0,0.0,North America,2024-04-24
58,A,4.03,1,0,0.0,Europe,2024-04-13
59,A,31.52,4,0,0.0,Europe,2024-04-27
60,A,16.3,2,0,0.0,North America,2024-01-05
61,A,10.24,2,0,0.0,Europe,2024-04-13
62,A,25.11,2,0,0.0,Europe,2024-04-17
63,B,12.72,4,0,0.0,Europe,2024-03-05
64,A,4.54,2,0,0.0,North America,2024-04-30
65,A,9.44,2,0,0.0,North America,2024-01-30
66,B,32.93,1,0,0.0,Europe,2024-05-28
67,A,17.17,5,1,117.98,North America,2024-03-24
68,B,35.77,0,0,0.0,North America,2024-05-29
69,A,14.24,3,0,0.0,Asia,2024-02-01
70,B,11.71,3,1,72.81,Asia,2024-06-09
71,B,47.08,3,0,0.0,North America,2024-01-16
72,A,8.44,0,0,0.0,North America,2024-02-07
73,A,26.15,6,0,0.0,Europe,2024-05-21
74,B,6.84,6,0,0.0,North America,2024-02-05
75,B,32.08,3,0,0.0,North America,2024-05-30
76,B,26.97,3,1,170.57,North America,2024-04-23
77,B,32.23,3,0,0.0,Europe,2024-03-06
78,A,5.26,1,0,0.0,Europe,2024-04-14
79,A,17.15,1,0,0.0,North America,2024-03-25
80,A,7.65,0,0,0.0,North America,2024-01-02
81,B,3.86,4,0,0.0,North America,2024-03-15
82,B,8.9,3,0,0.0,Europe,2024-03-07
83,A,34.7,3,0,0.0,North America,2024-06-28
84,A,34.64,1,0,0.0,North America,2024-05-30
85,A,5.61,1,0,0.0,Europe,2024-06-02
86,A,15.01,1,0,0.0,North America,2024-02-24
87,B,25.54,1,0,0.0,Europe,2024-01-06
88,B,7.5,1,0,0.0,North America,2024-06-11
89,B,27.39,3,0,0.0,North America,2024-05-29
90,A,27.37,1,0,0.0,North America,2024-06-19
91,A,12.99,0,0,0.0,Europe,2024-05-22
92,B,10.01,1,0,0.0,Asia,2024-03-26
93,B,16.38,3,0,0.0,Asia,2024-02-29
94,B,4.84,2,1,92.64,North America,2024-04-10
95,B,36.96,4,0,0.0,Europe,2024-01-12
96,A,11.56,2,0,0.0,North America,2024-02-18
