post_id,user_id,post_time,post_hour,post_type,paid_boost,hashtags_count,followers_at_post,views,likes,clicks,comments,shares,watch_time_total_sec,like_rate,click_through_rate,comment_rate,session_time_normal,clicks_binomial
1,186,2025-06-12 03:23:46.951695,3,text,0,0,22828,23112,198,96,35,15,10889,0.0085669781931464,0.004153686396677,0.0015143648321218,32.483570765056164,4
2,273,2025-07-27 10:40:21.951695,10,image,0,5,4459,2893,148,29,5,6,1835,0.0511579675077773,0.0100241963359834,0.0017283097131005,29.308678494144075,6
3,80,2025-08-25 13:23:31.951695,13,video,0,2,3607,5644,285,56,0,17,149281,0.0504961020552799,0.0099220411055988,0.0,33.23844269050346,2
4,310,2025-08-16 12:44:40.951695,12,link,0,3,27786,10885,164,135,17,3,1236,0.0150666054203031,0.0124023886081763,0.0015617822691777,37.61514928204013,6
5,131,2025-06-27 09:38:41.951695,9,video,0,4,3328,2974,163,58,0,8,193917,0.0548083389374579,0.019502353732347,0.0,28.829233126383322,3
6,349,2025-08-01 17:40:01.951695,17,link,0,3,1010,1193,27,34,4,5,311,0.0226320201173512,0.0284995808885163,0.0033528918692372,28.8293152152541,2
7,401,2025-07-22 23:44:47.951695,23,text,0,2,4106,1158,30,2,0,0,967,0.0259067357512953,0.001727115716753,0.0,37.896064077536955,1
8,430,2025-07-11 13:22:22.951695,13,text,0,0,7279,1992,27,8,3,1,440,0.0135542168674698,0.0040160642570281,0.0015060240963855,33.837173645764544,1
9,465,2025-09-04 03:58:16.951695,3,text,0,1,1607,846,11,5,1,1,104,0.0130023640661938,0.0059101654846335,0.0011820330969267,27.65262807032524,4
10,62,2025-07-15 19:28:04.951695,19,video,1,4,3516,4023,128,34,0,10,59527,0.0318170519512801,0.0084514044245587,0.0,32.712800217929825,3
11,69,2025-08-12 11:16:43.951695,11,image,0,1,11590,10815,282,77,54,30,8313,0.0260748959778086,0.0071197411003236,0.0049930651872399,27.682911535937688,2
12,464,2025-09-27 10:33:13.951695,10,text,0,1,618,771,18,4,2,1,176,0.0233463035019455,0.0051880674448767,0.0025940337224383,27.671351232148716,3
13,191,2025-08-12 08:47:05.951695,8,text,0,0,27547,53868,555,511,0,39,7113,0.0103029627979505,0.0094861513328878,0.0,31.20981135783017,2
14,14,2025-08-21 16:41:45.951695,16,video,0,0,15172,56708,2596,742,0,130,1082142,0.0457783734217394,0.013084573605135,0.0,20.433598776711012,3
15,144,2025-06-17 10:37:06.951695,10,video,0,0,6423,9393,225,59,0,28,112229,0.0239540083040562,0.0062812732886191,0.0,21.375410837434835,2
16,419,2025-06-30 00:41:46.951695,0,video,0,5,4586,6947,193,81,0,14,166842,0.0277817763063192,0.0116597092270044,0.0,27.188562353795138,4
17,178,2025-06-20 18:24:34.951695,18,image,0,4,5767,6015,193,34,10,7,2988,0.0320864505403158,0.0056525353283458,0.0016625103906899,24.93584439832788,4
18,39,2025-09-08 10:19:52.951695,10,image,0,3,2154,2612,99,9,0,2,1030,0.0379019908116385,0.0034456355283307,0.0,31.571236662976368,3
19,362,2025-09-16 23:07:21.951695,23,text,0,3,7211,7098,77,22,7,7,627,0.0108481262327416,0.0030994646379261,0.0009861932938856,25.459879622393945,2
20,98,2025-07-01 00:39:40.951695,0,text,0,1,1813,1290,19,4,0,1,50,0.0147286821705426,0.0031007751937984,0.0,22.938481493323543,2
21,177,2025-07-04 23:10:21.951695,23,image,0,0,23839,17985,427,101,0,13,1239,0.0237420072282457,0.0056157909368918,0.0,37.32824384460777,4
22,2,2025-07-17 10:30:25.951695,10,video,0,1,1737,3650,265,165,28,7,34400,0.0726027397260273,0.0452054794520547,0.0076712328767123,28.871118497567323,2
23,301,2025-08-18 13:58:24.951695,13,image,0,2,27649,34611,1526,216,0,66,4937,0.044090029181474,0.00624079050013,0.0,30.33764102343962,2
24,223,2025-08-22 06:26:34.951695,6,video,1,2,5863,12001,667,219,67,39,131274,0.055578701774852,0.0182484792933922,0.0055828680943254,22.876259068932715,1
25,434,2025-08-30 01:31:17.951695,1,video,0,0,787,420,23,6,0,5,1108,0.0547619047619047,0.0142857142857142,0.0,27.278086377374088,3
26,168,2025-09-25 06:37:30.951695,6,video,0,2,7222,3838,112,18,13,8,60624,0.0291818655549765,0.0046899426784783,0.0033871808233454,30.55461294854933,3
27,103,2025-07-14 01:23:08.951695,1,video,1,3,3441,10246,308,175,16,66,164028,0.0300605114190903,0.017079836033574,0.0015615850087839,24.245032112888484,4
28,83,2025-08-26 16:53:45.951695,16,video,0,4,3418,1389,41,40,4,3,6471,0.0295176385889128,0.0287976961843052,0.0028797696184305,31.87849009172836,2
29,101,2025-08-14 19:40:18.951695,19,image,1,1,3367,6335,254,62,17,9,2535,0.0400947119179163,0.0097868981846882,0.0026835043409629,26.996806550405974,2
30,226,2025-07-15 08:28:52.951695,8,video,0,0,6174,3166,104,37,0,5,35803,0.032849020846494,0.0116866708780795,0.0,28.541531251033618,4
31,44,2025-09-25 13:01:32.951695,13,video,0,2,6199,8413,252,123,30,13,148451,0.0299536431712825,0.0146202305955069,0.0035659099013431,26.991466938853016,4
32,202,2025-06-20 02:39:44.951695,2,video,0,2,20080,11067,491,166,42,36,171327,0.0443661335501942,0.0149995482063793,0.0037950664136622,39.26139092254469,3
33,428,2025-09-02 02:13:58.951695,2,image,0,2,27467,7365,193,43,18,4,1987,0.0262050237610319,0.0058384249830278,0.0024439918533604,29.93251387631033,3
34,384,2025-09-03 23:56:46.951695,23,image,1,3,1405,1132,28,8,0,1,119,0.0247349823321554,0.0070671378091872,0.0,24.7114453552205,2
35,319,2025-09-26 11:48:37.951695,11,video,0,1,13221,42153,1197,778,0,112,808838,0.0283965554053092,0.0184565748582544,0.0,34.11272456051594,5
36,447,2025-08-09 21:10:55.951695,21,video,0,2,14288,44079,3038,403,0,63,1461732,0.0689217087501985,0.0091426756505365,0.0,23.895781750144888,1
37,391,2025-07-17 05:56:32.951695,5,link,0,3,487,593,12,11,0,0,9,0.0202360876897133,0.0185497470489038,0.0,31.044317975023777,5
38,327,2025-09-15 23:33:47.951695,23,image,0,1,1020,503,15,3,0,0,61,0.0298210735586481,0.0059642147117296,0.0,20.201649380601122,4
39,432,2025-09-09 03:36:13.951695,3,image,0,1,7900,8454,500,155,0,7,2271,0.0591436006624083,0.0183345162053465,0.0,23.359069755507846,3
40,63,2025-08-07 16:34:44.951695,16,image,0,0,5783,6354,212,195,0,27,497,0.0333648095687755,0.030689329556185,0.0,30.984306179345616,1
41,410,2025-09-08 19:05:57.951695,19,text,0,0,1344,696,11,5,0,0,51,0.0158045977011494,0.007183908045977,0.0,33.69233289997705,3
42,148,2025-07-10 19:09:06.951695,19,text,0,3,4269,2952,46,19,0,1,652,0.0155826558265582,0.0064363143631436,0.0,30.85684140594985,3
43,367,2025-08-18 09:26:53.951695,9,image,1,2,2336,7157,201,71,17,5,434,0.0280843929020539,0.0099203576917702,0.002375296912114,29.421758588058797,2
44,457,2025-09-20 11:23:54.951695,11,image,0,2,14418,2863,152,43,20,4,659,0.0530911631156129,0.0150192106182326,0.0069856793573174,28.494481522053555,4
45,249,2025-07-16 19:27:55.951695,19,video,0,2,89775,57445,1597,1300,0,246,937469,0.0278005048307076,0.0226303420663243,0.0,22.607390048162863,6
46,45,2025-08-05 16:17:38.951695,16,image,0,2,5523,1789,72,8,0,11,2870,0.0402459474566797,0.004471771939631,0.0,26.400778958026457,3
47,186,2025-09-30 18:40:45.951695,18,image,0,3,22828,13828,343,117,0,31,1204,0.0248047439976858,0.0084610934336129,0.0,27.696806145201062,4
48,204,2025-09-12 10:31:12.951695,10,video,0,4,9357,4005,216,23,16,35,34355,0.0539325842696629,0.0057428214731585,0.0039950062421972,35.285611131094576,1
49,469,2025-09-23 02:20:32.951695,2,link,0,3,14853,2586,48,71,5,5,486,0.0185614849187935,0.0274555297757153,0.0019334880123743,31.71809144784231,3
50,472,2025-07-24 21:10:53.951695,21,text,0,4,3271,10002,130,62,0,6,3476,0.012997400519896,0.0061987602479504,0.0,21.18479922318633,1
51,285,2025-10-06 05:36:18.951695,5,video,0,2,1619,8062,233,51,0,23,55353,0.0289010171173406,0.0063259737037955,0.0,31.620419846973974,3
