user_id,gender,time_on_site_min,ads_seen,previous_customer,bought
1,Male,6.0,3,0,1
2,Female,3.6,6,0,0
3,Female,4.58,1,1,1
4,Male,0.14,1,0,0
5,Male,2.15,3,0,0
6,Female,3.53,3,0,1
7,Male,2.28,4,0,0
8,Female,5.14,6,0,1
9,Male,7.2,2,1,1
10,Male,2.12,7,1,1
11,Female,2.66,7,0,1
12,Female,4.38,2,0,1
13,Female,6.58,5,0,1
14,Female,2.04,1,0,0
15,Female,4.4,3,0,1
16,Female,6.91,2,0,1
17,Female,1.36,2,1,1
18,Male,1.95,1,1,1
19,Female,3.32,1,0,0
20,Male,3.17,0,1,0
21,Female,5.3,3,0,0
22,Male,4.39,1,0,1
23,Male,1.16,2,1,0
24,Female,4.82,3,0,1
25,Female,3.08,5,0,0
26,Female,6.04,3,1,1
27,Male,3.0,0,0,1
28,Female,2.98,2,1,0
29,Female,4.87,6,0,1
30,Male,5.22,3,1,1
31,Male,4.72,2,0,0
32,Male,1.3,3,0,0
33,Male,4.86,1,0,1
34,Female,2.35,2,1,1
35,Female,4.38,5,0,1
36,Male,1.72,5,1,1
37,Female,4.71,2,0,0
38,Female,2.71,5,0,0
39,Male,1.95,2,0,1
40,Female,5.14,5,0,1
41,Male,4.39,4,1,1
42,Female,3.02,3,0,1
43,Female,6.32,2,1,1
44,Male,3.29,3,0,1
45,Male,4.05,6,0,1
46,Female,4.43,3,0,0
47,Male,3.01,1,1,1
48,Female,4.75,1,1,1
49,Female,3.15,3,0,0
50,Female,3.34,0,0,0
51,Female,6.18,3,0,0
52,Male,2.34,0,0,0
53,Male,0.14,2,0,0
54,Male,6.58,4,0,1
55,Male,8.08,3,1,1
56,Male,3.35,2,1,1
57,Female,0.9,7,1,1
58,Male,3.5,2,1,1
59,Female,3.54,2,0,0
60,Female,3.7,5,1,1
61,Female,2.22,1,0,0
62,Female,4.93,3,0,1
63,Male,4.84,4,0,0
64,Female,1.61,4,0,0
65,Male,5.12,3,1,1
66,Male,7.28,1,1,1
67,Female,4.28,3,0,1
68,Male,3.46,3,0,1
69,Male,3.77,5,1,1
70,Male,4.98,2,0,1
71,Female,1.23,2,1,1
72,Male,4.26,4,1,1
73,Male,3.38,4,0,1
74,Male,6.96,2,0,1
75,Female,3.72,1,0,1
76,Male,6.67,2,0,1
77,Male,2.23,1,0,0
78,Male,4.94,1,0,0
79,Female,4.51,2,0,0
80,Female,2.61,2,0,0
81,Female,4.28,1,0,0
82,Male,5.94,5,1,1
83,Male,3.48,6,0,0
84,Female,1.29,3,1,0
85,Female,3.97,3,0,1
86,Female,2.56,0,0,1
87,Male,3.45,4,0,1
88,Male,3.87,2,1,1
89,Female,1.27,2,0,0
90,Female,1.41,4,0,0
91,Male,4.77,3,0,1
92,Female,3.16,2,1,1
93,Female,0.0,3,0,0
94,Male,5.26,5,0,1
95,Female,4.44,3,1,1
96,Male,2.86,3,0,1
97,Male,1.89,1,0,0
98,Female,5.34,2,1,1
99,Female,4.56,2,0,0
100,Male,7.81,4,0,1
101,Female,4.67,2,0,1
102,Male,4.62,2,0,0
103,Female,3.73,3,1,1
104,Male,5.31,3,0,0
105,Female,5.0,3,0,1
106,Female,6.0,3,0,0
107,Female,3.17,0,1,1
108,Female,3.3,3,1,0
109,Male,3.23,4,0,1
110,Female,5.27,3,1,1
111,Male,6.4,2,0,1
112,Female,3.27,2,1,1
113,Female,3.32,4,0,0
114,Male,4.5,5,0,1
115,Female,3.61,4,1,1
116,Female,5.52,3,1,1
117,Male,0.4,7,0,0
118,Male,2.68,4,0,1
119,Male,2.75,2,1,1
120,Male,0.29,1,0,0
121,Male,2.46,3,0,0
122,Female,2.54,4,0,0
123,Female,3.68,0,0,0
124,Male,5.78,1,0,1
125,Female,3.61,0,0,0
126,Female,2.35,6,1,1
127,Male,3.91,5,0,0
128,Female,5.68,2,1,1
129,Female,2.44,2,1,0
130,Female,2.54,2,1,1
131,Female,4.89,1,0,0
132,Female,3.65,1,0,0
133,Male,5.04,2,0,0
134,Female,3.98,5,0,1
135,Female,5.12,5,1,1
136,Male,2.34,1,1,0
137,Female,3.98,3,0,0
138,Male,3.66,3,0,1
139,Male,2.05,1,1,1
140,Male,1.5,3,0,0
141,Female,5.1,3,1,1
142,Male,3.44,1,0,1
143,Male,2.36,5,1,1
144,Male,3.85,3,1,1
145,Female,5.8,2,0,1
146,Female,0.35,3,0,0
147,Male,1.61,3,1,0
148,Male,2.52,0,0,0
149,Female,6.34,0,0,1
150,Male,4.45,2,0,1
151,Female,5.23,2,0,1
152,Male,2.18,2,1,1
153,Female,2.21,3,0,0
154,Male,4.72,2,0,0
155,Male,4.09,6,1,1
156,Female,4.88,5,0,0
157,Male,3.7,2,0,1
158,Female,4.45,1,1,1
159,Female,4.25,2,1,1
160,Female,5.24,3,0,1
161,Female,5.29,1,1,1
162,Female,1.41,6,0,0
163,Male,0.4,6,0,0
164,Male,5.6,3,1,1
165,Male,5.9,0,1,1
166,Female,2.37,5,0,1
167,Male,1.02,4,0,0
168,Male,4.16,4,0,1
169,Male,5.49,4,0,0
170,Male,6.88,5,1,1
171,Male,4.83,1,1,1
172,Male,3.41,1,0,0
173,Female,2.57,3,0,0
174,Female,4.02,1,0,0
175,Female,3.52,4,0,1
176,Male,2.38,3,1,0
177,Female,7.28,5,0,1
178,Male,6.86,1,0,1
179,Female,5.82,4,0,1
180,Female,2.53,6,1,0
181,Female,5.37,1,0,0
182,Male,5.02,2,0,0
183,Male,4.71,2,0,1
184,Female,6.0,4,0,1
185,Male,5.02,7,0,1
186,Male,5.18,4,0,1
187,Male,5.02,3,0,1
188,Male,4.55,2,0,0
189,Male,1.15,3,1,1
190,Male,4.13,4,0,1
191,Female,3.11,1,0,1
192,Female,1.95,2,0,1
193,Female,6.69,5,1,1
194,Male,6.77,0,1,1
195,Female,6.17,3,1,1
196,Male,4.41,7,0,0
197,Male,6.16,1,0,1
198,Male,4.02,2,0,1
199,Male,4.32,0,0,0
200,Female,2.25,2,0,1
201,Male,4.64,5,0,1
202,Female,4.1,2,0,1
203,Male,1.92,5,0,0
204,Female,3.92,1,0,0
205,Male,3.87,2,0,0
206,Male,6.88,6,1,1
207,Female,5.43,7,0,1
208,Female,4.02,4,1,1
209,Male,4.4,2,0,1
210,Female,4.07,5,1,1
211,Male,3.68,2,1,1
212,Female,2.27,7,0,0
213,Female,3.76,8,1,1
214,Male,2.81,2,0,0
215,Female,2.0,3,0,0
216,Male,4.82,3,1,1
217,Male,4.63,4,0,1
218,Male,1.14,5,0,0
219,Male,3.8,3,0,0
220,Female,5.59,3,0,1
221,Male,5.69,4,0,1
222,Male,5.64,5,0,1
223,Female,4.06,4,0,1
224,Male,2.65,5,0,1
225,Female,2.27,3,0,0
226,Male,4.55,2,0,1
227,Female,4.61,2,1,0
228,Female,6.06,4,0,1
229,Female,5.76,3,0,1
230,Male,3.79,2,1,0
231,Male,2.01,3,1,1
232,Female,3.49,2,0,1
233,Male,4.35,2,0,1
234,Female,3.68,3,1,1
235,Male,3.08,2,1,1
236,Female,4.4,1,0,0
237,Female,3.19,3,0,1
238,Male,3.0,8,0,1
239,Male,4.5,1,0,0
240,Female,3.36,5,1,1
241,Male,4.39,2,1,1
242,Female,4.44,4,0,1
243,Male,2.18,1,0,0
244,Female,3.23,2,1,1
245,Female,6.3,5,0,1
246,Male,2.14,2,1,1
247,Female,0.61,8,0,0
248,Male,1.02,1,0,0
249,Female,4.05,1,0,0
250,Male,4.05,2,0,0
251,Male,3.81,1,1,1
252,Male,5.94,2,0,0
253,Male,0.0,0,0,0
254,Male,4.63,3,0,0
255,Female,6.5,3,0,0
256,Male,2.2,6,0,1
257,Female,3.39,2,1,1
258,Male,2.8,5,0,0
259,Male,2.57,0,0,1
260,Female,3.48,3,0,1
261,Female,6.28,2,0,0
262,Male,6.94,1,1,1
